Rank,IP Address,Failed Attempts,Severity
1,185.220.101.15,50,HIGH
2,91.218.114.31,35,MEDIUM
3,45.67.89.100,12,LOW
4,45.67.89.101,12,LOW
5,45.67.89.102,11,LOW
6,198.51.100.44,8,INFO
7,203.0.113.50,6,INFO
8,203.0.113.51,6,INFO
9,203.0.113.52,6,INFO
10,203.0.113.53,6,INFO
11,203.0.113.54,6,INFO
12,185.220.101.10,4,INFO
13,198.51.100.10,1,INFO
14,198.51.100.16,1,INFO
15,198.51.100.2,1,INFO
16,198.51.100.8,1,INFO
17,198.51.100.14,1,INFO
18,198.51.100.0,1,INFO
19,198.51.100.6,1,INFO
